time of insert, time of get, number of rehashed, number of keys
446,59,11,10000
3443,552,14,100000
30503,4926,17,1000000
418682,48374,21,10000000
3562295,484851,24,100000000
5,0,4,100
26,5,7,1000
378,48,11,10000
3396,575,14,100000
30248,4804,17,1000000
408498,48564,21,10000000
3568577,484883,24,100000000
4,0,4,100
26,5,7,1000
379,47,11,10000
3399,601,14,100000
30464,4961,17,1000000
414620,48779,21,10000000
3459105,481376,24,100000000
5,0,4,100
26,5,7,1000
402,48,11,10000
3413,462,14,100000
31944,4884,17,1000000
407602,48372,21,10000000
3572974,488413,24,100000000
5,0,4,100
32,4,7,1000
379,47,11,10000
3329,463,14,100000
30376,4667,17,1000000
412118,49123,21,10000000
3578714,483460,24,100000000
5,0,4,100
50,5,7,1000
458,48,11,10000
3512,461,14,100000
31184,4880,17,1000000
411745,48765,21,10000000
3458927,485189,24,100000000
5,0,4,100
76,5,7,1000
398,48,11,10000
3284,575,14,100000
31259,5008,17,1000000
409442,48949,21,10000000
3451286,484360,24,100000000
5,0,4,100
34,5,7,1000
381,47,11,10000
3372,574,14,100000
30507,4647,17,1000000
411043,49037,21,10000000
3498450,483784,24,100000000
5,0,4,100
26,5,7,1000
386,48,11,10000
3230,465,14,100000
30660,4949,17,1000000
412386,48373,21,10000000
3505076,492962,24,100000000
5,0,4,100
40,5,7,1000
402,48,11,10000
3441,592,14,100000
30981,4935,17,1000000
417332,49602,21,10000000
3460604,493065,24,100000000
7,0,4,100
30,5,7,1000
446,47,11,10000
3396,463,14,100000
32085,4912,17,1000000
404298,48490,21,10000000
3453380,487120,24,100000000
5,0,4,100
27,5,7,1000
384,48,11,10000
3264,575,14,100000
30615,4708,17,1000000
429940,49086,21,10000000
3514390,488472,24,100000000
5,0,4,100
32,5,7,1000
416,48,11,10000
3448,467,14,100000
30711,4849,17,1000000
419311,48861,21,10000000
3537254,496595,24,100000000
6,0,4,100
26,5,7,1000
390,47,11,10000
3252,508,14,100000
31106,4855,17,1000000
425082,48927,21,10000000
3587377,490471,24,100000000
6,0,4,100
26,5,7,1000
428,47,11,10000
3422,468,14,100000
30520,4724,17,1000000
412095,48588,21,10000000
3515372,492975,24,100000000
6,0,4,100
26,5,7,1000
370,75,11,10000
3358,575,14,100000
30521,4931,17,1000000
