time of insert, time of get, number of rehashed, number of keys
165,28,undefined,1000
1717,349,undefined,10000
18517,3056,undefined,100000
176197,32800,undefined,1000000
1810294,326916,undefined,10000000
20881106,3383582,undefined,100000000
20,3,undefined,100
167,27,undefined,1000
1536,346,undefined,10000
18394,2682,undefined,100000
177718,32750,undefined,1000000
1824057,333238,undefined,10000000
20844518,3365510,undefined,100000000
21,3,undefined,100
172,28,undefined,1000
1568,328,undefined,10000
18524,2956,undefined,100000
176435,33600,undefined,1000000
1798875,329561,undefined,10000000
20877926,3359423,undefined,100000000
21,3,undefined,100
229,39,undefined,1000
1521,328,undefined,10000
17339,2987,undefined,100000
179840,33100,undefined,1000000
1816007,328838,undefined,10000000
20862516,3377653,undefined,100000000
20,3,undefined,100
158,27,undefined,1000
1525,329,undefined,10000
17108,2844,undefined,100000
173355,32059,undefined,1000000
1915081,328013,undefined,10000000
21216788,3307422,undefined,100000000
21,3,undefined,100
165,29,undefined,1000
1617,279,undefined,10000
18693,2964,undefined,100000
178600,32701,undefined,1000000
1807500,326976,undefined,10000000
21056933,3318893,undefined,100000000
21,3,undefined,100
157,26,undefined,1000
1517,331,undefined,10000
17723,3057,undefined,100000
179452,32554,undefined,1000000
1809728,331288,undefined,10000000
20940473,3372366,undefined,100000000
24,4,undefined,100
164,27,undefined,1000
1526,311,undefined,10000
18630,3134,undefined,100000
175103,32807,undefined,1000000
1809704,325913,undefined,10000000
20898053,3379134,undefined,100000000
24,3,undefined,100
176,33,undefined,1000
2202,261,undefined,10000
19228,2837,undefined,100000
194017,31670,undefined,1000000
1864452,320756,undefined,10000000
18745400,3323065,undefined,100000000
20,3,undefined,100
198,28,undefined,1000
1859,328,undefined,10000
20302,2905,undefined,100000
186903,32361,undefined,1000000
1830261,319815,undefined,10000000
18815582,3221941,undefined,100000000
22,3,undefined,100
185,29,undefined,1000
1870,347,undefined,10000
20966,3110,undefined,100000
189985,32090,undefined,1000000
1881064,328260,undefined,10000000
19021435,3232063,undefined,100000000
22,3,undefined,100
177,27,undefined,1000
1805,331,undefined,10000
20549,2918,undefined,100000
196381,33077,undefined,1000000
1868640,327054,undefined,10000000
19061212,3301250,undefined,100000000
20,3,undefined,100
183,27,undefined,1000
1780,330,undefined,10000
19314,2824,undefined,100000
194034,33693,undefined,1000000
1863506,331219,undefined,10000000
19489948,3284464,undefined,100000000
24,3,undefined,100
185,31,undefined,1000
1739,331,undefined,10000
19963,2929,undefined,100000
194283,33387,undefined,1000000
1943132,343742,undefined,10000000
19736560,3291003,undefined,100000000
22,3,undefined,100
184,27,undefined,1000
1828,331,undefined,10000
20268,2818,undefined,100000
191133,34555,undefined,1000000
1871973,324708,undefined,10000000
19197375,3304193,undefined,100000000
22,3,undefined,100
189,28,undefined,1000
1915,332,undefined,10000
20155,2926,undefined,100000
188171,32856,undefined,1000000
1862199,326409,undefined,10000000
19237440,3261866,undefined,100000000
23,3,undefined,100
192,35,undefined,1000
1886,278,undefined,10000
20978,2964,undefined,100000
190288,32401,undefined,1000000
1881125,328540,undefined,10000000
19366056,3312499,undefined,100000000
23,3,undefined,100
192,27,undefined,1000
1802,330,undefined,10000
20830,2774,undefined,100000
195091,32456,undefined,1000000
1903248,333084,undefined,10000000
19397046,3279961,undefined,100000000
22,3,undefined,100
194,27,undefined,1000
1815,266,undefined,10000
19863,2854,undefined,100000
191862,33073,undefined,1000000
1895701,332306,undefined,10000000
19298310,3325588,undefined,100000000
22,3,undefined,100
189,26,undefined,1000
1784,331,undefined,10000
19540,2798,undefined,100000
196930,33530,undefined,1000000
1881522,331914,undefined,10000000
19433491,3352916,undefined,100000000
22,3,undefined,100
195,30,undefined,1000
1821,266,undefined,10000
19348,2864,undefined,100000
194624,32603,undefined,1000000
2013041,333663,undefined,10000000
19440542,3319781,undefined,100000000
23,3,undefined,100
193,28,undefined,1000
1674,273,undefined,10000
20010,3024,undefined,100000
